index,name,status,group_year,movie_id
822,jerry,t,1984,1123132
823,jerry,t,1984,2484540
824,jerry,t,1978,1940533
825,jerry,t,1978,3374727
826,jerry,t,1978,8463574
827,jerry,t,1992,620034
828,jerry,t,1992,226202
829,jerry,t,1992,328344
830,jerry,b,1941,5224
831,jerry,b,1941,2616900
832,jerry,b,1941,23949922
833,jerry,b,1970,19278455
834,jerry,b,1970,7146194
835,jerry,b,1970,26139404
836,jerry,i,1996,16949337
837,jerry,i,2000,1602740
838,jerry,i,2010,30654631
839,jerry,i,1997,1006812
840,jerry,i,1959,76366
841,charles,t,1961,2609169
842,charles,t,1961,171029
843,charles,t,1961,1955767
844,charles,t,2001,3569822
845,charles,t,2001,1267713
846,charles,t,2001,1241914
847,charles,t,1995,1822067
848,charles,t,1995,1190931
849,charles,t,1995,11223
850,charles,b,1944,5224
851,charles,b,1944,77641
852,charles,b,1944,77665
853,charles,b,1970,3887641
854,charles,b,1970,1069944
855,charles,b,1970,217819
856,charles,i,2009,23410377
857,charles,i,2007,11611500
858,charles,i,2011,34275556
859,charles,i,2008,18737103
860,charles,i,1988,21472296
861,leland,t,2003,1726126
862,leland,t,2003,547378
863,leland,t,2003,2392280
864,leland,i,1941,5224
865,leland,i,1992,11728170
866,leland,i,1996,690042
867,leland,i,2004,3329115
868,leland,i,1995,4731904
869,mary,t,1974,36814246
870,mary,t,1974,6223567
871,mary,t,1974,7651220
872,mary,t,1990,129644
873,mary,t,1990,1962219
874,mary,t,1990,1233576
875,mary,t,2011,30265620
876,mary,t,2011,20926377
877,mary,t,2011,3427182
878,mary,b,1965,77856
879,mary,b,1965,1145761
880,mary,b,1965,7803431
881,mary,i,2004,17911663
882,mary,i,2002,22308889
883,mary,i,1946,28785543
884,mary,i,1941,29504548
885,mary,i,1982,30050474
886,herbert,i,1941,5224
887,herbert,i,1999,536009
888,herbert,i,1994,1486573
889,herbert,i,1985,18968064
890,herbert,i,2011,27693775
891,raymond,t,1960,58147
892,raymond,t,1960,3862631
893,raymond,t,1976,6953611
894,raymond,t,1976,724449
895,raymond,b,1929,6147086
896,raymond,b,1929,24162487
897,raymond,b,1969,320527
898,raymond,b,1969,9426697
899,raymond,i,2001,2887831
900,raymond,i,1988,129368
901,raymond,i,1941,5224
902,raymond,i,2011,31086423
903,raymond,i,1984,205013
904,susan,t,1942,5224
905,susan,t,1942,3990824
906,susan,t,1942,13257327
907,susan,t,1936,73376
908,susan,t,1936,31553889
